eventID,occurrenceID,scientificName,scientificNameID,vernacularName,occurrenceStatus,parentNameUsageID,taxonomicStatus,scientificNameAuthorship,kingdom,phylum,class,order,family,genus,taxonRank,associatedTaxa,associatedOccurrences,basisOfRecord
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0039,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,Chum salmon,present,126140,accepted,"(Walbaum, 1792)",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Species,,,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0039:p:c_b_cys,Candidatus Branchiomonas cysticola,urn:lsid:marinespecies.org:taxname:1476535,NA,present,1476534,accepted,"Toenshoff et al., 2012",Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales incertae sedis,Candidatus Branchiomonas,Species,"""Pathogen found on"" : ""Chum salmon"" ",Pathogen found on: IYS:GoA2019_Stn10:trawl:M0039,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0039:p:hkg,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Chum salmon"" ",Pathogen found on: IYS:GoA2019_Stn10:trawl:M0039,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0039:p:IcD,Ichthyobodo ,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Chum salmon"" ",Pathogen found on: IYS:GoA2019_Stn10:trawl:M0039,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0040,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,Sockeye salmon,present,126140,accepted,"(Walbaum, 1792)",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Species,,,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0040:p:hkg,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0040,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0040:p:IcD,Ichthyobodo ,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0040,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0040:p:lo_sal,Loma ,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0040,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0040:p:pspv,Pacific salmon parvovirus,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0040,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0041,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,Sockeye salmon,present,126140,accepted,"(Walbaum, 1792)",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Species,,,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0041:p:hkg,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0041,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0041:p:lo_sal,Loma ,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0041,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0041:p:pa_pse,Parvicapsula pseudobranchicola,urn:lsid:marinespecies.org:taxname:465144,NA,present,120270,accepted,"Karlsbakk, Saether, Hostlund, Fjellsoy & Nylund, 2002",Animalia,Cnidaria,Myxozoa,Bivalvulida,Parvicapsulidae,Parvicapsula,Species,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0041,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0042,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,Sockeye salmon,present,126140,accepted,"(Walbaum, 1792)",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Species,,,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0042:p:c_b_cys,Candidatus Branchiomonas cysticola,urn:lsid:marinespecies.org:taxname:1476535,NA,present,1476534,accepted,"Toenshoff et al., 2012",Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales incertae sedis,Candidatus Branchiomonas,Species,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0042,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0042:p:hkg,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0042,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0042:p:ic_hof,Ichthyophonus hoferi,urn:lsid:marinespecies.org:taxname:1476517,NA,present,1476516,accepted,"Plehn & Mulsow, 1911",Protozoa,Choanozoa,Ichthyosporea,Eccrinida,Ichthyophonidae,Ichthyophonus,Species,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0042,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0042:p:IcD,Ichthyobodo ,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0042,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0042:p:pa_pse,Parvicapsula pseudobranchicola,urn:lsid:marinespecies.org:taxname:465144,NA,present,120270,accepted,"Karlsbakk, Saether, Hostlund, Fjellsoy & Nylund, 2002",Animalia,Cnidaria,Myxozoa,Bivalvulida,Parvicapsulidae,Parvicapsula,Species,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0042,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0042:p:pspv,Pacific salmon parvovirus,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0042,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0042:p:sp_des,Sphaerothecum destruens,urn:lsid:marinespecies.org:taxname:1476539,NA,present,1476538,accepted,"Arkush, Mendoza, Adkison & Hedrick, 2003",Protozoa,Choanozoa,Ichthyosporea,NA,NA,Sphaerothecum,Species,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0042,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0043,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,Sockeye salmon,present,126140,accepted,"(Walbaum, 1792)",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Species,,,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0043:p:c_b_cys,Candidatus Branchiomonas cysticola,urn:lsid:marinespecies.org:taxname:1476535,NA,present,1476534,accepted,"Toenshoff et al., 2012",Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales incertae sedis,Candidatus Branchiomonas,Species,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0043,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0043:p:hkg,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0043,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0043:p:ic_hof,Ichthyophonus hoferi,urn:lsid:marinespecies.org:taxname:1476517,NA,present,1476516,accepted,"Plehn & Mulsow, 1911",Protozoa,Choanozoa,Ichthyosporea,Eccrinida,Ichthyophonidae,Ichthyophonus,Species,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0043,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0043:p:lo_sal,Loma ,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0043,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0044,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,Sockeye salmon,present,126140,accepted,"(Walbaum, 1792)",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Species,,,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0044:p:c_b_cys,Candidatus Branchiomonas cysticola,urn:lsid:marinespecies.org:taxname:1476535,NA,present,1476534,accepted,"Toenshoff et al., 2012",Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales incertae sedis,Candidatus Branchiomonas,Species,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0044,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0044:p:hkg,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0044,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0044:p:lo_sal,Loma ,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0044,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0044:p:pa_pse,Parvicapsula pseudobranchicola,urn:lsid:marinespecies.org:taxname:465144,NA,present,120270,accepted,"Karlsbakk, Saether, Hostlund, Fjellsoy & Nylund, 2002",Animalia,Cnidaria,Myxozoa,Bivalvulida,Parvicapsulidae,Parvicapsula,Species,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0044,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0044:p:sp_des,Sphaerothecum destruens,urn:lsid:marinespecies.org:taxname:1476539,NA,present,1476538,accepted,"Arkush, Mendoza, Adkison & Hedrick, 2003",Protozoa,Choanozoa,Ichthyosporea,NA,NA,Sphaerothecum,Species,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0044,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0045,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,Sockeye salmon,present,126140,accepted,"(Walbaum, 1792)",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Species,,,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0045:p:c_b_cys,Candidatus Branchiomonas cysticola,urn:lsid:marinespecies.org:taxname:1476535,NA,present,1476534,accepted,"Toenshoff et al., 2012",Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales incertae sedis,Candidatus Branchiomonas,Species,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0045,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0045:p:hkg,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0045,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0045:p:lo_sal,Loma ,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0045,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0046,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,Chinook salmon,present,126140,accepted,"(Walbaum, 1792)",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Species,,,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0046:p:hkg,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Chinook salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0046,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0047,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,Coho salmon,present,126140,accepted,"(Walbaum, 1792)",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Species,,,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0047:p:c_b_cys,Candidatus Branchiomonas cysticola,urn:lsid:marinespecies.org:taxname:1476535,NA,present,1476534,accepted,"Toenshoff et al., 2012",Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales incertae sedis,Candidatus Branchiomonas,Species,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0047,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0047:p:hkg,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0047,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0047:p:Rhabdo3,Putative rhabdo virus,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0047,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0048,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,Coho salmon,present,126140,accepted,"(Walbaum, 1792)",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Species,,,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0048:p:c_b_cys,Candidatus Branchiomonas cysticola,urn:lsid:marinespecies.org:taxname:1476535,NA,present,1476534,accepted,"Toenshoff et al., 2012",Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales incertae sedis,Candidatus Branchiomonas,Species,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0048,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0048:p:hkg,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0048,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0048:p:ic_hof,Ichthyophonus hoferi,urn:lsid:marinespecies.org:taxname:1476517,NA,present,1476516,accepted,"Plehn & Mulsow, 1911",Protozoa,Choanozoa,Ichthyosporea,Eccrinida,Ichthyophonidae,Ichthyophonus,Species,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0048,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0048:p:lo_sal,Loma ,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0048,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0048:p:pa_pse,Parvicapsula pseudobranchicola,urn:lsid:marinespecies.org:taxname:465144,NA,present,120270,accepted,"Karlsbakk, Saether, Hostlund, Fjellsoy & Nylund, 2002",Animalia,Cnidaria,Myxozoa,Bivalvulida,Parvicapsulidae,Parvicapsula,Species,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0048,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0049,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,Chum salmon,present,126140,accepted,"(Walbaum, 1792)",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Species,,,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0049:p:ce_sha,Ceratonova shasta,urn:lsid:marinespecies.org:taxname:990442,NA,present,990421,accepted,"(Noble, 1950)",Animalia,Cnidaria,Myxozoa,Bivalvulida,Ceratomyxidae,Ceratonova,Species,"""Pathogen found on"" : ""Chum salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0049,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0049:p:hkg,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Chum salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0049,PreservedSpecimen
IYS:GoA2019_Stn11:trawl,IYS:GoA2019_Stn11:trawl:M0049:p:lo_sal,Loma ,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Chum salmon"" ",Pathogen found on: IYS:GoA2019_Stn11:trawl:M0049,PreservedSpecimen
IYS:GoA2019_Stn12:trawl,IYS:GoA2019_Stn12:trawl:M0050,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,Sockeye salmon,present,126140,accepted,"(Walbaum, 1792)",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Species,,,PreservedSpecimen
IYS:GoA2019_Stn12:trawl,IYS:GoA2019_Stn12:trawl:M0050:p:c_b_cys,Candidatus Branchiomonas cysticola,urn:lsid:marinespecies.org:taxname:1476535,NA,present,1476534,accepted,"Toenshoff et al., 2012",Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales incertae sedis,Candidatus Branchiomonas,Species,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn12:trawl:M0050,PreservedSpecimen
IYS:GoA2019_Stn12:trawl,IYS:GoA2019_Stn12:trawl:M0050:p:hkg,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Sockeye salmon"" ",Pathogen found on: IYS:GoA2019_Stn12:trawl:M0050,PreservedSpecimen
