eventID,measurementID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID,measurementValueID,occurrenceID
IYS:GoA2020_Stn:6.0:bongo:Net1,IYS:GoA2020_Stn:6.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4350,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:6.0:bongo:Net2,IYS:GoA2020_Stn:6.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4350,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:7.0:bongo:Net1,IYS:GoA2020_Stn:7.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4400,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:7.0:bongo:Net2,IYS:GoA2020_Stn:7.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4400,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:8.0:bongo:Net1,IYS:GoA2020_Stn:8.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4300,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:8.0:bongo:Net2,IYS:GoA2020_Stn:8.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4300,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:9.0:bongo:Net1,IYS:GoA2020_Stn:9.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4400,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:9.0:bongo:Net2,IYS:GoA2020_Stn:9.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4400,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:10.0:bongo:Net1,IYS:GoA2020_Stn:10.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:10.0:bongo:Net2,IYS:GoA2020_Stn:10.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:11.0:bongo:Net1,IYS:GoA2020_Stn:11.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:11.0:bongo:Net2,IYS:GoA2020_Stn:11.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:12.0:bongo:Net1,IYS:GoA2020_Stn:12.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:12.0:bongo:Net2,IYS:GoA2020_Stn:12.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:13.0:bongo:Net1,IYS:GoA2020_Stn:13.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4500,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:13.0:bongo:Net2,IYS:GoA2020_Stn:13.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4500,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:14.0:bongo:Net1,IYS:GoA2020_Stn:14.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3100,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:14.0:bongo:Net2,IYS:GoA2020_Stn:14.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3100,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:15.0:bongo:Net1,IYS:GoA2020_Stn:15.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4300,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:15.0:bongo:Net2,IYS:GoA2020_Stn:15.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4300,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:16.0:bongo:Net1,IYS:GoA2020_Stn:16.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4050,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:16.0:bongo:Net2,IYS:GoA2020_Stn:16.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4050,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:21.0:bongo:Net1,IYS:GoA2020_Stn:21.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4180,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:21.0:bongo:Net2,IYS:GoA2020_Stn:21.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4180,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:22.0:bongo:Net1,IYS:GoA2020_Stn:22.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4150,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:22.0:bongo:Net2,IYS:GoA2020_Stn:22.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4150,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:23.0:bongo:Net1,IYS:GoA2020_Stn:23.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4080,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:23.0:bongo:Net2,IYS:GoA2020_Stn:23.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4080,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:28.0:bongo:Net1,IYS:GoA2020_Stn:28.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2950,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:28.0:bongo:Net2,IYS:GoA2020_Stn:28.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2950,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:P:bongo:Net1,IYS:GoA2020_Stn:P:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,250,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:P:bongo:Net2,IYS:GoA2020_Stn:P:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,250,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:Q:bongo:Net1,IYS:GoA2020_Stn:Q:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,298,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:Q:bongo:Net2,IYS:GoA2020_Stn:Q:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,298,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:P PRIME:bongo:Net1,IYS:GoA2020_Stn:P PRIME:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2850,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:P PRIME:bongo:Net2,IYS:GoA2020_Stn:P PRIME:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2850,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:S28:bongo:Net1,IYS:GoA2020_Stn:S28:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2000,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:S28:bongo:Net2,IYS:GoA2020_Stn:S28:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2000,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:S27:bongo:Net1,IYS:GoA2020_Stn:S27:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3300,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:S27:bongo:Net2,IYS:GoA2020_Stn:S27:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3300,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:Y27:bongo:Net1,IYS:GoA2020_Stn:Y27:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4100,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:Y27:bongo:Net2,IYS:GoA2020_Stn:Y27:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4100,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:AJ:bongo:Net1,IYS:GoA2020_Stn:AJ:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3700,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:AJ:bongo:Net2,IYS:GoA2020_Stn:AJ:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3700,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:AI:bongo:Net1,IYS:GoA2020_Stn:AI:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3800,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:AI:bongo:Net2,IYS:GoA2020_Stn:AI:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3800,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:AH:bongo:Net1,IYS:GoA2020_Stn:AH:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3850,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:AH:bongo:Net2,IYS:GoA2020_Stn:AH:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3850,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:AK:bongo:Net1,IYS:GoA2020_Stn:AK:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:AK:bongo:Net2,IYS:GoA2020_Stn:AK:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:AL:bongo:Net1,IYS:GoA2020_Stn:AL:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4070,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:AL:bongo:Net2,IYS:GoA2020_Stn:AL:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4070,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:AM:bongo:Net1,IYS:GoA2020_Stn:AM:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3600,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:AM:bongo:Net2,IYS:GoA2020_Stn:AM:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3600,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:I:bongo:Net1,IYS:GoA2020_Stn:I:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4250,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:I:bongo:Net2,IYS:GoA2020_Stn:I:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4250,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:AV:bongo:Net1,IYS:GoA2020_Stn:AV:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:AV:bongo:Net2,IYS:GoA2020_Stn:AV:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:AW:bongo:Net1,IYS:GoA2020_Stn:AW:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:AW:bongo:Net2,IYS:GoA2020_Stn:AW:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:AX:bongo:Net1,IYS:GoA2020_Stn:AX:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3200,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:AX:bongo:Net2,IYS:GoA2020_Stn:AX:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3200,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:1:bongo:Net1,IYS:GoA2020_Stn:1:bongo:Net1:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,492.8696529,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:1:bongo:Net1,IYS:GoA2020_Stn:1:bongo:Net1:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,96.72566938,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/,NA,NA
IYS:GoA2020_Stn:1:bongo:Net1,IYS:GoA2020_Stn:1:bongo:Net1:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/,NA,NA
IYS:GoA2020_Stn:1:bongo:Net1,IYS:GoA2020_Stn:1:bongo:Net1:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,NA,NA
IYS:GoA2020_Stn:1:bongo:Net2,IYS:GoA2020_Stn:1:bongo:Net2:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,498.7013167,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:1:bongo:Net2,IYS:GoA2020_Stn:1:bongo:Net2:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,97.8701334,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/,NA,NA
IYS:GoA2020_Stn:1:bongo:Net2,IYS:GoA2020_Stn:1:bongo:Net2:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/,NA,NA
IYS:GoA2020_Stn:1:bongo:Net2,IYS:GoA2020_Stn:1:bongo:Net2:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,NA,NA
IYS:GoA2020_Stn:2:bongo:Net1,IYS:GoA2020_Stn:2:bongo:Net1:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,449.1993592,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:2:bongo:Net1,IYS:GoA2020_Stn:2:bongo:Net1:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,88.15537424,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/,NA,NA
IYS:GoA2020_Stn:2:bongo:Net1,IYS:GoA2020_Stn:2:bongo:Net1:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/,NA,NA
IYS:GoA2020_Stn:2:bongo:Net1,IYS:GoA2020_Stn:2:bongo:Net1:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,NA,NA
IYS:GoA2020_Stn:2:bongo:Net2,IYS:GoA2020_Stn:2:bongo:Net2:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,"NA",m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:2:bongo:Net2,IYS:GoA2020_Stn:2:bongo:Net2:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,"NA",m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/,NA,NA
IYS:GoA2020_Stn:2:bongo:Net2,IYS:GoA2020_Stn:2:bongo:Net2:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,"NA",m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/,NA,NA
IYS:GoA2020_Stn:2:bongo:Net2,IYS:GoA2020_Stn:2:bongo:Net2:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,NA,NA
IYS:GoA2020_Stn:3:bongo:Net1,IYS:GoA2020_Stn:3:bongo:Net1:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,407.1952552,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:3:bongo:Net1,IYS:GoA2020_Stn:3:bongo:Net1:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,79.91206883,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/,NA,NA
IYS:GoA2020_Stn:3:bongo:Net1,IYS:GoA2020_Stn:3:bongo:Net1:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/,NA,NA
IYS:GoA2020_Stn:3:bongo:Net1,IYS:GoA2020_Stn:3:bongo:Net1:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,NA,NA
IYS:GoA2020_Stn:3:bongo:Net2,IYS:GoA2020_Stn:3:bongo:Net2:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,474.2728263,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:3:bongo:Net2,IYS:GoA2020_Stn:3:bongo:Net2:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,93.07604216,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/,NA,NA
IYS:GoA2020_Stn:3:bongo:Net2,IYS:GoA2020_Stn:3:bongo:Net2:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/,NA,NA
IYS:GoA2020_Stn:3:bongo:Net2,IYS:GoA2020_Stn:3:bongo:Net2:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,NA,NA
IYS:GoA2020_Stn:4:bongo:Net1,IYS:GoA2020_Stn:4:bongo:Net1:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,199.7008937,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:4:bongo:Net1,IYS:GoA2020_Stn:4:bongo:Net1:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,39.19130039,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/,NA,NA
IYS:GoA2020_Stn:4:bongo:Net1,IYS:GoA2020_Stn:4:bongo:Net1:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/,NA,NA
IYS:GoA2020_Stn:4:bongo:Net1,IYS:GoA2020_Stn:4:bongo:Net1:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,NA,NA
