cruise,station,gear,net,sample_depth,start_latitude,start_longitude,end_latitude,end_longitude,date,start_time,depth,sample_id,universal_id_ftn,sample_type,group,scientificName,organismQuantity,size_fraction,length_mm,length_type,weight_mg,tissue,stage,preservation,sub_sample,notes,cast,eventID,occurrenceID,occurrenceStatus,organismQuantityType,scientificNameID
GoA2019,GoA2019_Stn10,Bongo,1,250,47.666666666666664,-147.5,"NA","NA",2019-02-24T00:00:00Z,1899-12-31T16:50:00Z,4600,Petri dish_6,"NA",Biology,Tunicate,Salpa aspera,1,"NA",44.0,OA,TBD,whole,Spent,Freeze: -20,NA,NA,GoA2019_Stn10:bongo:Net1,GoA2019_Stn10:bongo:Net1:Petri dish,IYS_GoA2019_zocc11,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn10,Bongo,1,250,47.666666666666664,-147.5,"NA","NA",2019-02-24T00:00:00Z,1899-12-31T16:50:00Z,4600,Petri dish_7,"NA",Biology,Tunicate,Salpa aspera,1,"NA",44.0,OA,TBD,whole,Spent,Freeze: -20,NA,NA,GoA2019_Stn10:bongo:Net1,GoA2019_Stn10:bongo:Net1:Petri dish,IYS_GoA2019_zocc12,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn10,Bongo,1,250,47.666666666666664,-147.5,"NA","NA",2019-02-24T00:00:00Z,1899-12-31T16:50:00Z,4600,Petri dish_8,"NA",Biology,Tunicate,Salpa aspera,1,"NA",43.0,OA,TBD,whole,Spent,Freeze: -20,NA,NA,GoA2019_Stn10:bongo:Net1,GoA2019_Stn10:bongo:Net1:Petri dish,IYS_GoA2019_zocc13,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn10,Bongo,1,250,47.666666666666664,-147.5,"NA","NA",2019-02-24T00:00:00Z,1899-12-31T16:50:00Z,4600,Petri dish_9,"NA",Biology,Tunicate,Salpa aspera,1,"NA",43.0,OA,TBD,whole,Spent,Freeze: -20,NA,NA,GoA2019_Stn10:bongo:Net1,GoA2019_Stn10:bongo:Net1:Petri dish,IYS_GoA2019_zocc14,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn10,Bongo,1,250,47.666666666666664,-147.5,"NA","NA",2019-02-24T00:00:00Z,1899-12-31T16:50:00Z,4600,Petri dish_10,"NA",Biology,Tunicate,Salpa aspera,1,"NA",42.0,OA,TBD,whole,4.0,Freeze: -20,NA,NA,GoA2019_Stn10:bongo:Net1,GoA2019_Stn10:bongo:Net1:Petri dish,IYS_GoA2019_zocc15,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn10,Bongo,1,250,47.666666666666664,-147.5,"NA","NA",2019-02-24T00:00:00Z,1899-12-31T16:50:00Z,4600,Petri dish_11,"NA",Biology,Tunicate,Salpa aspera,1,"NA",39.0,OA,TBD,whole,Spent,Freeze: -20,NA,NA,GoA2019_Stn10:bongo:Net1,GoA2019_Stn10:bongo:Net1:Petri dish,IYS_GoA2019_zocc16,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn10,Bongo,1,250,47.666666666666664,-147.5,"NA","NA",2019-02-24T00:00:00Z,1899-12-31T16:50:00Z,4600,Petri dish_12,"NA",Biology,Tunicate,Salpa aspera,1,"NA",38.0,OA,TBD,whole,Spent,Freeze: -20,NA,NA,GoA2019_Stn10:bongo:Net1,GoA2019_Stn10:bongo:Net1:Petri dish,IYS_GoA2019_zocc17,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn11,Bongo,1,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,Petri_dish_13.1,"NA",Biology,Tunicate,Salpa aspera,1,"NA",70,OA,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn11:bongo:Net1,GoA2019_Stn11:bongo:Net1:Petri dish,IYS_GoA2019_zocc18,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn11,Bongo,1,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,Petri_dish_13.2,"NA",Biology,Tunicate,Salpa aspera,1,"NA",65,OA,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn11:bongo:Net1,GoA2019_Stn11:bongo:Net1:Petri dish,IYS_GoA2019_zocc19,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn11,Bongo,1,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,Petri_dish_13.3,"NA",Biology,Tunicate,Salpa aspera,1,"NA",55,OA,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn11:bongo:Net1,GoA2019_Stn11:bongo:Net1:Petri dish,IYS_GoA2019_zocc20,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn11,Bongo,1,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,Petri_dish_14.1,"NA",Biology,Tunicate,Salpa aspera,1,"NA",60,OA,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn11:bongo:Net1,GoA2019_Stn11:bongo:Net1:Petri dish,IYS_GoA2019_zocc21,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn11,Bongo,1,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,Petri_dish_14.2,"NA",Biology,Tunicate,Salpa aspera,1,"NA",60,OA,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn11:bongo:Net1,GoA2019_Stn11:bongo:Net1:Petri dish,IYS_GoA2019_zocc22,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn11,Bongo,1,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,Petri_dish_14.3,"NA",Biology,Tunicate,Salpa aspera,1,"NA",55,OA,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn11:bongo:Net1,GoA2019_Stn11:bongo:Net1:Petri dish,IYS_GoA2019_zocc23,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn11,Bongo,1,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,Petri_dish_15.1,"NA",Biology,Tunicate,Salpa aspera,1,"NA",55,OA,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn11:bongo:Net1,GoA2019_Stn11:bongo:Net1:Petri dish,IYS_GoA2019_zocc24,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn11,Bongo,1,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,Petri_dish_15.2,"NA",Biology,Tunicate,Salpa aspera,1,"NA",50,OA,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn11:bongo:Net1,GoA2019_Stn11:bongo:Net1:Petri dish,IYS_GoA2019_zocc25,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn11,Bongo,1,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,Petri_dish_15.3,"NA",Biology,Tunicate,Salpa aspera,1,"NA",50,OA,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn11:bongo:Net1,GoA2019_Stn11:bongo:Net1:Petri dish,IYS_GoA2019_zocc26,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn11,Bongo,1,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,Petri_dish_15.4,"NA",Biology,Tunicate,Salpa aspera,1,"NA",45,OA,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn11:bongo:Net1,GoA2019_Stn11:bongo:Net1:Petri dish,IYS_GoA2019_zocc27,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn11,Bongo,1,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,Petri dish_16,"NA",Biology,Tunicate,Salpa aspera,3,"NA",60.0,OA,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn11:bongo:Net1,GoA2019_Stn11:bongo:Net1:Petri dish,IYS_GoA2019_zocc28,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn11,Bongo,1,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,S109,"NA",Isotope,Euphausiid,Euphausia pacifica,1,"NA",17.0,total,6.8,whole,"NA",Freeze: -20,NA,From net 1,GoA2019_Stn11:bongo:Net1,GoA2019_Stn11:bongo:Net1:S109,IYS_GoA2019_zocc29,present,individuals,urn:lsid:marinespecies.org:taxname:237851
GoA2019,GoA2019_Stn11,Bongo,1,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,S110,"NA",Isotope,Euphausiid,Euphausia pacifica,1,"NA",16.0,total,5.3,whole,"NA",Freeze: -20,NA,From net 1,GoA2019_Stn11:bongo:Net1,GoA2019_Stn11:bongo:Net1:S110,IYS_GoA2019_zocc30,present,individuals,urn:lsid:marinespecies.org:taxname:237851
GoA2019,GoA2019_Stn11,Bongo,1,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,S111,"NA",Isotope,Copepod,Neocalanus cristatus,1,"NA",6.0,total,2.0,whole,"NA",Freeze: -20,NA,From net 1,GoA2019_Stn11:bongo:Net1,GoA2019_Stn11:bongo:Net1:S111,IYS_GoA2019_zocc31,present,individuals,urn:lsid:marinespecies.org:taxname:104470
GoA2019,GoA2019_Stn11,Bongo,1,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,S112,"NA",Isotope,Copepod,Neocalanus cristatus,1,"NA",6.0,total,1.0,whole,"NA",Freeze: -20,NA,From net 1,GoA2019_Stn11:bongo:Net1,GoA2019_Stn11:bongo:Net1:S112,IYS_GoA2019_zocc32,present,individuals,urn:lsid:marinespecies.org:taxname:104470
GoA2019,GoA2019_Stn11,Bongo,1,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,S113,"NA",Isotope,Copepod,Neocalanus cristatus,1,"NA",6.0,total,3.0,whole,"NA",Freeze: -20,NA,From net 1,GoA2019_Stn11:bongo:Net1,GoA2019_Stn11:bongo:Net1:S113,IYS_GoA2019_zocc33,present,individuals,urn:lsid:marinespecies.org:taxname:104470
GoA2019,GoA2019_Stn11,Bongo,2,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,22000.0,"NA",Lipid,Euphausiid,Thysanoessa spinifera,1,4.0,10.0,total,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn11:bongo:Net2,GoA2019_Stn11:bongo:Net2:22000.0,IYS_GoA2019_zocc34,present,individuals,urn:lsid:marinespecies.org:taxname:237874
GoA2019,GoA2019_Stn11,Bongo,2,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,22001.0,"NA",Lipid,Euphausiid,Thysanoessa spinifera,1,2.0,11.0,total,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn11:bongo:Net2,GoA2019_Stn11:bongo:Net2:22001.0,IYS_GoA2019_zocc35,present,individuals,urn:lsid:marinespecies.org:taxname:237874
GoA2019,GoA2019_Stn11,Bongo,2,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,22002.0,"NA",Lipid,Euphausiid,Thysanoessa spinifera,1,2.0,10.0,total,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn11:bongo:Net2,GoA2019_Stn11:bongo:Net2:22002.0,IYS_GoA2019_zocc36,present,individuals,urn:lsid:marinespecies.org:taxname:237874
GoA2019,GoA2019_Stn11,Bongo,2,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,22003.0,"NA",Lipid,Copepod,Copepod,1.0,2.0,2-4mm,total,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn11:bongo:Net2,GoA2019_Stn11:bongo:Net2:22003.0,IYS_GoA2019_zocc37,present,individuals,urn:lsid:marinespecies.org:taxname:1080
GoA2019,GoA2019_Stn11,Bongo,2,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,22004.0,"NA",Lipid,Copepod,Copepod,1,2.0,5.0,total,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn11:bongo:Net2,GoA2019_Stn11:bongo:Net2:22004.0,IYS_GoA2019_zocc38,present,individuals,urn:lsid:marinespecies.org:taxname:1080
GoA2019,GoA2019_Stn11,Bongo,2,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,22005.0,"NA",Lipid,Copepod,Copepod,1,2.0,6.0,total,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn11:bongo:Net2,GoA2019_Stn11:bongo:Net2:22005.0,IYS_GoA2019_zocc39,present,individuals,urn:lsid:marinespecies.org:taxname:1080
GoA2019,GoA2019_Stn11,Bongo,2,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,22006.0,"NA",Lipid,Copepod,Copepod,1,2.0,7.0,total,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn11:bongo:Net2,GoA2019_Stn11:bongo:Net2:22006.0,IYS_GoA2019_zocc40,present,individuals,urn:lsid:marinespecies.org:taxname:1080
GoA2019,GoA2019_Stn11,Bongo,2,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,22007.0,"NA",Lipid,Copepod,Copepod,1,2.0,8.0,total,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn11:bongo:Net2,GoA2019_Stn11:bongo:Net2:22007.0,IYS_GoA2019_zocc41,present,individuals,urn:lsid:marinespecies.org:taxname:1080
GoA2019,GoA2019_Stn11,Bongo,2,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,S102,"NA",Isotope,Euphausiid,Euphausia pacifica,1,4.0,18.0,total,11.1,whole,"NA",Freeze: -20,NA,From net 2; 4mm Size fraction,GoA2019_Stn11:bongo:Net2,GoA2019_Stn11:bongo:Net2:S102,IYS_GoA2019_zocc42,present,individuals,urn:lsid:marinespecies.org:taxname:237851
GoA2019,GoA2019_Stn11,Bongo,2,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,S103,"NA",Isotope,Euphausiid,Thysanoessa spinifera,1,4.0,13.0,total,4.4,whole,"NA",Freeze: -20,NA,From net 2; 4mm Size fraction,GoA2019_Stn11:bongo:Net2,GoA2019_Stn11:bongo:Net2:S103,IYS_GoA2019_zocc43,present,individuals,urn:lsid:marinespecies.org:taxname:237874
GoA2019,GoA2019_Stn11,Bongo,2,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,S104,"NA",Isotope,Euphausiid,Thysanoessa spinifera,1,4.0,14.0,total,4.8,whole,"NA",Freeze: -20,NA,From net 2; 4mm Size fraction,GoA2019_Stn11:bongo:Net2,GoA2019_Stn11:bongo:Net2:S104,IYS_GoA2019_zocc44,present,individuals,urn:lsid:marinespecies.org:taxname:237874
GoA2019,GoA2019_Stn11,Bongo,2,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,S105,"NA",Isotope,Amphipod,Cyphocaris,1,4.0,12.0,total,10.8,whole,"NA",Freeze: -20,NA,From net 2; 4mm Size fraction,GoA2019_Stn11:bongo:Net2,GoA2019_Stn11:bongo:Net2:S105,IYS_GoA2019_zocc45,present,individuals,urn:lsid:marinespecies.org:taxname:101603
GoA2019,GoA2019_Stn11,Bongo,2,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,S106,"NA",Isotope,Copepod,Neocalanus cristatus,1,4.0,6.0,total,3.1,whole,"NA",Freeze: -20,NA,From net 2; 4mm Size fraction,GoA2019_Stn11:bongo:Net2,GoA2019_Stn11:bongo:Net2:S106,IYS_GoA2019_zocc46,present,individuals,urn:lsid:marinespecies.org:taxname:104470
GoA2019,GoA2019_Stn11,Bongo,2,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,S107,"NA",Isotope,Euphausiid,Euphausia pacifica,1,4.0,10.0,total,5.7,whole,"NA",Freeze: -20,NA,From net 2; 4mm Size fraction,GoA2019_Stn11:bongo:Net2,GoA2019_Stn11:bongo:Net2:S107,IYS_GoA2019_zocc47,present,individuals,urn:lsid:marinespecies.org:taxname:237851
GoA2019,GoA2019_Stn11,Bongo,2,250,48.6675,-147.50066666666666,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T02:05:00Z,4700,S108,"NA",Isotope,Copepod,Neocalanus cristatus,1,4.0,6.0,total,2.1,whole,"NA",Freeze: -20,NA,From net 2; 2mm Size fraction,GoA2019_Stn11:bongo:Net2,GoA2019_Stn11:bongo:Net2:S108,IYS_GoA2019_zocc48,present,individuals,urn:lsid:marinespecies.org:taxname:104470
GoA2019,GoA2019_Stn13,Bongo,1,250,50.666666666666664,-147.5,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T20:36:00Z,4800,SS1,"NA",Isotope,Copepod,Neocalanus cristatus,5,"NA",6.5,total,7.5,whole,"NA",Freeze: -20,NA,from net 1 - formalin sample,GoA2019_Stn13:bongo:Net1,GoA2019_Stn13:bongo:Net1:SS1,IYS_GoA2019_zocc49,present,individuals,urn:lsid:marinespecies.org:taxname:104470
GoA2019,GoA2019_Stn13,Bongo,1,250,50.666666666666664,-147.5,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T20:36:00Z,4800,SS2,"NA",Isotope,Copepod,Neocalanus cristatus,5,"NA",6.5,total,6.7,whole,"NA",Freeze: -20,NA,from net 1 - formalin sample,GoA2019_Stn13:bongo:Net1,GoA2019_Stn13:bongo:Net1:SS2,IYS_GoA2019_zocc50,present,individuals,urn:lsid:marinespecies.org:taxname:104470
GoA2019,GoA2019_Stn13,Bongo,1,250,50.666666666666664,-147.5,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T20:36:00Z,4800,SS3,"NA",Isotope,Decapod,Sergestes similis,1,"NA",41.0,total,59.6,whole,"NA",Freeze: -20,NA,from net 1 - formalin sample,GoA2019_Stn13:bongo:Net1,GoA2019_Stn13:bongo:Net1:SS3,IYS_GoA2019_zocc51,present,individuals,urn:lsid:marinespecies.org:taxname:514127
GoA2019,GoA2019_Stn13,Bongo,1,250,50.666666666666664,-147.5,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T20:36:00Z,4800,SS4,"NA",Isotope,Decapod,Sergestes similis,1,"NA",44.0,total,87.1,whole,"NA",Freeze: -20,NA,from net 1 - formalin sample,GoA2019_Stn13:bongo:Net1,GoA2019_Stn13:bongo:Net1:SS4,IYS_GoA2019_zocc52,present,individuals,urn:lsid:marinespecies.org:taxname:514127
GoA2019,GoA2019_Stn13,Bongo,1,250,50.666666666666664,-147.5,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T20:36:00Z,4800,SS5,"NA",Isotope,Euphausiid,Thysanoessa spinifera,2,"NA",16.0,total,13.7,whole,"NA",Freeze: -20,NA,from net 1 - formalin sample,GoA2019_Stn13:bongo:Net1,GoA2019_Stn13:bongo:Net1:SS5,IYS_GoA2019_zocc53,present,individuals,urn:lsid:marinespecies.org:taxname:237874
GoA2019,GoA2019_Stn13,Bongo,1,250,50.666666666666664,-147.5,"NA","NA",2019-02-25T00:00:00Z,1899-12-31T20:36:00Z,4800,SS6,"NA",Isotope,Decapod,Sergestes similis,1,"NA",46.0,total,101.2,whole,"NA",Freeze: -20,NA,from net 1 - formalin sample,GoA2019_Stn13:bongo:Net1,GoA2019_Stn13:bongo:Net1:SS6,IYS_GoA2019_zocc54,present,individuals,urn:lsid:marinespecies.org:taxname:514127
GoA2019,GoA2019_Stn14,Bongo,1,250,51.66566666666667,-147.50133333333332,"NA","NA",2019-02-26T00:00:00Z,1899-12-31T05:15:00Z,4200,SS15,"NA",FA/ISO,Copepod,Neocalanus cristatus,3,"NA",6.5,total,TBD,whole,"NA",Freeze: -20,NA,"From net 1, Station 14",GoA2019_Stn14:bongo:Net1,GoA2019_Stn14:bongo:Net1:SS15,IYS_GoA2019_zocc55,present,individuals,urn:lsid:marinespecies.org:taxname:104470
GoA2019,GoA2019_Stn14,Bongo,1,250,51.66566666666667,-147.50133333333332,"NA","NA",2019-02-26T00:00:00Z,1899-12-31T05:15:00Z,4200,SS16,"NA",FA/ISO,Copepod,Neocalanus cristatus,3,"NA",6.5,total,TBD,whole,"NA",Freeze: -20,NA,"From net 1, Station 14",GoA2019_Stn14:bongo:Net1,GoA2019_Stn14:bongo:Net1:SS16,IYS_GoA2019_zocc56,present,individuals,urn:lsid:marinespecies.org:taxname:104470
GoA2019,GoA2019_Stn14,Bongo,1,250,51.66566666666667,-147.50133333333332,"NA","NA",2019-02-26T00:00:00Z,1899-12-31T05:15:00Z,4200,SS17,"NA",FA/ISO,Copepod,Neocalanus cristatus,3,"NA",6.5,total,TBD,whole,"NA",Freeze: -20,NA,"From net 1, Station 14",GoA2019_Stn14:bongo:Net1,GoA2019_Stn14:bongo:Net1:SS17,IYS_GoA2019_zocc57,present,individuals,urn:lsid:marinespecies.org:taxname:104470
GoA2019,GoA2019_Stn14,Bongo,2,250,51.66566666666667,-147.50133333333332,"NA","NA",2019-02-26T00:00:00Z,1899-12-31T05:15:00Z,4200,22008.0,"NA",Lipid,Copepod,Neocalanus cristatus,1,4.0,6.0,total,TBD,whole,"NA",Freeze: -20,NA,NA,GoA2019_Stn14:bongo:Net2,GoA2019_Stn14:bongo:Net2:22008.0,IYS_GoA2019_zocc58,present,individuals,urn:lsid:marinespecies.org:taxname:104470
